1 1 1   0.0000000E+00
2 1 1   0.0000000E+00
3 1 1   0.0000000E+00
4 1 1   0.0000000E+00
5 1 1   0.0000000E+00
6 1 1   0.0000000E+00
7 1 1   0.0000000E+00
8 1 1   0.0000000E+00
9 1 1   0.0000000E+00
10 1 1   0.0000000E+00
11 1 1   0.0000000E+00
12 1 1   0.0000000E+00
13 1 1   0.0000000E+00
14 1 1   0.0000000E+00
15 1 1   0.0000000E+00
16 1 1   0.0000000E+00
17 1 1   0.0000000E+00
18 1 1   0.0000000E+00
19 1 1   0.0000000E+00
20 1 1   0.0000000E+00
21 1 1   0.0000000E+00
22 1 1   0.0000000E+00
23 1 1   0.0000000E+00
24 1 1   0.0000000E+00
25 1 1   0.0000000E+00
26 1 1   0.0000000E+00
27 1 1   0.0000000E+00
28 1 1   0.0000000E+00
29 1 1   0.0000000E+00
30 1 1   0.0000000E+00
31 1 1   0.0000000E+00
32 1 1   0.0000000E+00
33 1 1   0.0000000E+00
34 1 1   0.0000000E+00
35 1 1   0.0000000E+00
36 1 1   0.0000000E+00
37 1 1   0.0000000E+00
38 1 1   0.0000000E+00
39 1 1   0.0000000E+00
40 1 1   0.0000000E+00
41 1 1   0.0000000E+00
42 1 1   0.0000000E+00
43 1 1   0.0000000E+00
44 1 1   0.0000000E+00
45 1 1   0.0000000E+00
46 1 1   0.0000000E+00
47 1 1   0.0000000E+00
48 1 1   0.0000000E+00
49 1 1   0.0000000E+00
50 1 1   0.0000000E+00

1 2 1   0.0000000E+00
2 2 1   0.0000000E+00
3 2 1   0.0000000E+00
4 2 1   0.0000000E+00
5 2 1   0.0000000E+00
6 2 1   0.0000000E+00
7 2 1   0.0000000E+00
8 2 1   0.0000000E+00
9 2 1   0.0000000E+00
10 2 1   0.0000000E+00
11 2 1   0.0000000E+00
12 2 1   0.0000000E+00
13 2 1   0.0000000E+00
14 2 1   0.0000000E+00
15 2 1   0.0000000E+00
16 2 1   0.0000000E+00
17 2 1   0.0000000E+00
18 2 1   0.0000000E+00
19 2 1   0.0000000E+00
20 2 1   0.0000000E+00
21 2 1   0.0000000E+00
22 2 1   0.0000000E+00
23 2 1   0.0000000E+00
24 2 1   0.0000000E+00
25 2 1   0.0000000E+00
26 2 1   0.0000000E+00
27 2 1   0.0000000E+00
28 2 1   0.0000000E+00
29 2 1   0.0000000E+00
30 2 1   0.0000000E+00
31 2 1   0.0000000E+00
32 2 1   0.0000000E+00
33 2 1   0.0000000E+00
34 2 1   0.0000000E+00
35 2 1   0.0000000E+00
36 2 1   0.0000000E+00
